Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    51,04/04/23 00:21:17,51,135.00,160.20,307.006,141.760,145.332,146.185,141.649,141.180,136.939,128.413,123.840,115.205,104.989, 97.176, 91.539, 88.574, 84.096, 81.982, 85.740, 86.193, 82.987, 80.403, 78.807, 76.029,225.256,244.212,263.061,278.055,288.453,292.294,293.922,294.658,295.569,296.032,296.623,296.227,295.412,295.956,1
    52,04/04/23 00:21:17,41, 294.8400,  94.5600,1010.3000, 241.7300,0,1
    53,04/04/23 00:22:35,41, 294.7900,  94.3700,1010.4000, 241.3800,0,1
    54,04/04/23 00:23:10,51,  0.00, 19.80,307.000,134.640,137.599,138.285,134.367,134.511,129.680,122.646,117.732,108.693, 99.596, 92.336, 86.689, 84.192, 79.448, 78.200, 80.735, 82.140, 79.804, 77.166, 74.983, 72.054,221.044,240.862,259.626,276.848,287.537,292.168,293.813,295.332,295.467,296.898,295.679,295.293,295.483,295.650,1
    55,04/04/23 00:23:28,51,  0.00, 90.00,307.005, 59.526, 60.925, 60.863, 59.183, 59.921, 58.765, 53.535, 51.176, 45.352, 40.381, 37.797, 34.598, 33.210, 30.886, 31.301, 36.374, 41.658, 38.451, 36.531, 35.199, 30.728,113.459,137.016,161.560,193.214,229.625,260.512,280.704,289.264,291.671,293.888,294.005,294.170,294.767,295.076,1
    56,04/04/23 00:23:45,51,  0.00,160.20,307.000,143.292,146.199,146.554,143.131,143.210,138.050,130.475,125.603,115.918,105.726, 98.325, 91.924, 88.922, 84.476, 82.830, 85.142,162.882, 83.203, 81.259, 78.836, 75.843,223.575,243.506,261.996,277.279,288.052,291.971,293.948,294.848,294.673,295.669,295.409,295.059,295.357,295.584,1
    57,04/04/23 00:24:08,51, 45.00, 19.80,306.993,131.827,135.434,135.011,132.051,131.888,127.575,120.480,116.044,106.290, 97.128, 90.360, 84.826, 81.895, 77.850, 76.598, 78.966, 81.207, 77.380, 75.613, 74.014, 71.258,219.614,240.007,258.433,275.938,287.504,292.001,293.701,294.835,295.069,296.934,295.525,294.650,295.415,295.707,1
    58,04/04/23 00:24:26,51, 45.00,160.20,306.988,146.530,149.916,150.191,146.812,146.429,141.278,134.000,129.302,118.651,108.491,100.353, 93.387, 91.504, 86.589, 84.662, 86.984,137.978, 84.911, 82.795, 80.624, 77.295,224.858,244.420,261.940,278.250,288.088,292.720,293.755,295.815,294.901,296.168,296.308,295.732,295.477,295.584,1
    59,04/04/23 00:24:27,41, 294.7400,  94.5600,1010.4000, 241.6200,0,1
    60,04/04/23 00:24:49,51, 90.00, 19.80,306.983,132.081,135.230,135.550,132.157,131.776,126.954,120.568,115.315,106.464, 97.731, 90.507, 83.970, 81.817, 77.814, 76.592, 79.517, 81.927, 77.966, 75.686, 73.868, 70.857,218.601,239.442,258.090,275.810,287.388,291.936,294.255,294.506,295.280,296.220,295.576,295.287,295.199,295.344,1
    61,04/04/23 00:25:07,51, 90.00,160.20,306.981,144.012,147.277,147.341,143.789,144.063,139.304,131.701,128.681,116.809,106.580, 99.404, 92.314, 89.859, 85.118, 83.837, 86.278, 91.877, 84.087, 81.634, 79.339, 76.622,224.498,244.201,262.109,278.156,288.323,292.678,294.169,295.094,294.843,295.842,295.849,295.839,296.055,296.234,1
    62,04/04/23 00:25:07,41, 294.7400,  94.6900,1010.4000, 241.8900,0,1
    63,04/04/23 00:25:30,51,135.00, 19.80,306.975,133.985,137.514,137.677,133.811,134.400,129.187,122.129,118.908,108.169, 99.236, 91.489, 85.308, 83.076, 78.279, 77.297, 79.703,113.180, 78.461, 76.857, 74.413, 70.949,218.768,239.384,258.536,275.789,287.340,292.160,294.165,295.244,294.527,295.722,295.695,295.463,295.663,296.378,1
    64,04/04/23 00:25:48,51,135.00,160.20,306.971,140.711,144.105,144.521,140.678,140.472,135.469,128.503,122.610,113.851,104.143, 96.943, 90.484, 87.528, 83.336, 81.692, 83.906, 85.827, 82.820, 80.425, 78.408, 75.000,224.104,244.360,261.986,278.063,288.106,291.914,293.867,294.777,295.077,295.885,295.784,295.740,295.396,296.020,1
    65,04/04/23 00:25:49,41, 294.7400,  94.6900,1010.5000, 241.8500,0,1
    66,04/04/23 00:27:06,41, 294.7200,  94.5800,1010.5000, 241.8500,0,1
    67,04/04/23 00:27:41,51,  0.00, 19.80,306.938,134.327,137.600,137.669,133.030,133.202,129.308,121.256,116.639,108.427, 98.345, 92.060, 86.560, 82.804, 78.997, 76.727, 81.217, 82.172, 79.220, 76.683, 74.242, 71.835,220.422,240.676,259.771,276.936,287.492,291.456,293.060,295.127,295.463,295.404,295.698,295.367,296.089,296.345,1
    68,04/04/23 00:27:59,51,  0.00, 90.00,306.937, 59.794, 61.139, 61.206, 58.353, 58.335, 58.645, 52.426, 50.252, 45.273, 39.184, 36.888, 34.781, 32.386, 31.115, 30.555, 37.257, 40.944, 38.459, 36.483, 35.364, 30.944,113.278,137.316,161.860,193.612,229.657,260.630,280.715,289.700,292.216,293.032,293.634,294.716,294.802,295.451,1
    69,04/04/23 00:28:17,51,  0.00,160.20,306.937,142.994,145.707,146.644,141.690,141.737,137.641,128.982,124.455,115.475,104.398, 97.966, 91.764, 88.274, 84.634, 82.174, 86.235,165.500, 83.828, 81.053, 78.532, 75.967,223.668,243.639,262.513,277.736,288.664,292.233,293.660,295.291,295.607,295.564,295.550,296.161,296.164,296.332,1
    70,04/04/23 00:28:40,51, 45.00, 19.80,306.933,131.930,134.528,134.951,130.682,130.687,126.957,119.138,115.025,105.960, 96.986, 90.129, 85.169, 81.211, 77.951, 75.589, 79.921, 81.045, 77.911, 75.315, 73.516, 70.468,219.160,239.309,258.661,276.102,287.145,291.730,293.403,294.839,295.411,295.015,295.938,295.991,295.938,296.129,1
    71,04/04/23 00:28:58,51, 45.00,160.20,306.930,145.144,148.378,149.125,145.039,144.800,139.844,131.246,127.785,117.224,107.021, 99.691, 94.038, 89.801, 86.158, 83.501, 87.781,133.692, 84.855, 82.278, 79.653, 77.177,224.861,244.104,262.776,277.903,288.322,292.078,293.317,295.210,294.825,295.302,295.206,295.743,295.212,295.778,1
    72,04/04/23 00:28:59,41, 294.7100,  94.6900,1010.6000, 241.2000,0,1
    73,04/04/23 00:29:22,51, 90.00, 19.80,306.927,132.633,135.511,136.207,131.361,131.493,126.859,119.999,115.752,106.196, 96.884, 90.520, 85.538, 81.830, 78.470, 76.409, 80.480, 82.311, 77.962, 76.207, 74.021, 71.639,218.971,239.968,258.827,276.593,287.418,292.335,293.648,294.986,295.447,295.391,295.621,296.115,295.782,296.224,1
