Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    55,04/01/23 00:23:29,51,  0.00, 90.00,307.608, 41.856, 43.612, 43.879, 41.088, 41.989, 41.386, 37.949, 36.224, 33.899, 29.133, 26.592, 24.858, 23.697, 20.411, 21.794, 29.689, 33.758, 32.191, 29.397, 29.063, 23.304,106.380,130.751,157.128,190.150,228.220,260.344,281.667,290.252,293.111,293.766,295.050,296.177,295.529,295.843,1
    56,04/01/23 00:23:46,51,  0.00,160.20,307.605,110.719,114.424,114.518,110.533,110.536,106.896,100.605, 97.316, 90.299, 81.697, 75.234, 70.698, 69.186, 64.031, 63.707, 68.407,146.831, 67.575, 65.095, 64.064, 60.661,217.264,238.527,259.700,277.365,288.743,292.731,294.170,295.842,295.640,296.285,296.349,297.242,296.310,296.734,1
    57,04/01/23 00:24:10,51, 45.00, 19.80,307.597, 89.651, 93.294, 92.873, 88.621, 89.196, 86.906, 81.258, 77.523, 72.488, 64.875, 60.209, 57.650, 54.446, 51.575, 51.014, 56.178, 59.570, 57.862, 55.549, 53.867, 50.656,209.404,232.406,255.187,274.772,287.947,292.373,294.477,295.924,296.100,296.427,296.503,297.205,296.715,297.071,1
    58,04/01/23 00:24:28,51, 45.00,160.20,307.594,111.027,113.879,114.434,110.642,111.003,107.345,100.669, 97.887, 90.735, 82.204, 75.844, 70.909, 69.415, 64.215, 63.595, 68.573,119.206, 68.025, 65.734, 63.996, 60.517,217.808,238.936,259.199,277.064,288.404,292.539,294.161,295.280,295.282,295.865,296.373,297.082,296.063,296.642,1
    59,04/01/23 00:24:29,41, 297.6700,  66.6500,1013.0000, 226.6500,0,1
    60,04/01/23 00:24:51,51, 90.00, 19.80,307.587, 89.546, 93.363, 93.035, 88.289, 88.965, 86.136, 80.017, 77.365, 71.591, 64.956, 59.489, 57.002, 54.782, 50.890, 51.075, 55.930, 59.825, 56.897, 55.361, 53.974, 50.380,208.733,231.885,254.611,274.344,287.749,292.721,294.120,295.147,296.039,296.203,296.913,296.635,296.423,296.848,1
    61,04/01/23 00:25:09,51, 90.00,160.20,307.579,108.905,112.382,111.834,108.476,108.788,105.331, 99.003, 97.067, 88.825, 80.280, 74.069, 70.302, 67.573, 63.019, 62.591, 67.290, 73.026, 66.818, 64.526, 62.729, 60.253,217.879,239.026,259.586,277.648,288.843,292.911,294.296,295.659,295.254,295.848,296.176,296.915,296.582,296.772,1
    62,04/01/23 00:25:09,41, 297.7200,  66.4300,1013.1000, 227.9500,0,1
    63,04/01/23 00:25:32,51,135.00, 19.80,307.573,103.330,107.256,106.193,102.561,102.485, 99.715, 93.951, 90.846, 83.471, 75.599, 69.437, 65.519, 63.255, 59.211, 58.783, 63.589, 97.882, 63.802, 62.144, 60.378, 56.829,211.645,234.054,255.836,275.072,287.404,292.111,293.684,294.784,294.943,295.852,296.028,296.746,296.294,296.591,1
    64,04/01/23 00:25:50,51,135.00,160.20,307.569, 95.727, 98.623, 98.607, 93.787, 95.070, 91.960, 85.981, 82.749, 76.659, 69.438, 64.232, 60.736, 58.423, 54.971, 53.791, 60.223, 62.050, 59.593, 58.652, 56.192, 52.913,214.584,236.786,258.531,276.945,288.782,293.003,294.133,295.179,295.355,296.243,296.339,297.482,296.916,296.933,1
