Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
94,04/09/23 00:37:00,51,0.0,90.0,308.159,70.575,72.249,73.228,69.434,69.262,67.071,61.439,57.782,52.322,46.327,41.921,37.761,36.885,36.038,37.717,41.824,45.132,41.914,40.999,39.598,31.121
95,04/09/23 00:37:17,51,0.0,160.2,308.158,157.551,161.035,162.384,156.672,156.344,150.224,141.251,136.609,125.42,115.034,106.109,98.136,95.051,92.115,90.576,92.283,170.962,89.031,87.463,85.666,79.329
96,04/09/23 00:37:40,51,45.0,19.8,308.163,153.545,157.18,157.418,151.39,151.346,146.133,136.364,131.2,120.55,109.834,100.888,94.18,90.805,88.283,86.829,88.488,88.899,85.559,83.596,81.871,75.169
97,04/09/23 00:37:58,51,45.0,160.2,308.168,161.818,165.603,165.938,160.704,160.296,154.238,144.891,140.696,129.37,118.563,109.628,101.467,98.385,95.726,93.89,95.185,147.967,91.516,89.825,88.038,81.745
99,04/09/23 00:38:21,51,90.0,19.8,308.164,155.122,158.875,158.972,153.787,152.968,147.418,138.345,133.578,121.927,111.92,102.978,96.098,92.442,89.833,88.626,89.741,90.473,86.867,85.511,83.31,76.975
100,04/09/23 00:38:39,51,90.0,160.2,308.165,163.832,167.412,168.085,162.318,162.033,155.89,147.382,143.878,130.524,119.283,110.713,102.544,99.346,96.433,94.734,95.959,100.279,92.432,90.912,88.668,82.406
102,04/09/23 00:39:03,51,135.0,19.8,308.163,152.982,156.621,157.087,151.703,151.382,145.777,136.528,132.798,120.835,110.005,101.722,94.297,91.235,88.408,87.097,88.516,119.684,85.639,84.276,81.671,75.424
103,04/09/23 00:39:21,51,135.0,160.2,308.159,162.776,166.418,167.514,161.463,160.908,154.875,145.518,140.08,129.462,118.241,109.021,101.611,98.315,95.217,94.053,95.073,94.341,90.738,89.087,88.05,80.823
106,04/09/23 00:41:13,51,0.0,19.8,308.137,155.393,158.161,158.989,153.307,152.982,146.592,138.288,132.768,122.159,110.865,102.278,94.623,91.832,89.133,87.629,89.389,88.41,85.941,83.897,81.911,75.854
107,04/09/23 00:41:31,51,0.0,90.0,308.139,70.413,72.19,72.451,69.49,68.71,66.346,61.728,57.933,51.866,45.611,42.112,37.575,36.511,35.288,36.967,40.893,44.565,41.733,41.09,39.46,30.783
