Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
106,04/04/23 00:41:16,51,0.0,19.8,306.967,132.057,135.749,135.663,131.42,131.815,127.424,119.826,115.722,106.744,98.217,91.063,85.224,82.106,78.401,77.128,79.699,80.445,78.35,76.071,74.452,70.709
107,04/04/23 00:41:34,51,0.0,90.0,306.969,58.138,59.212,59.747,56.547,57.359,56.275,51.654,50.059,44.617,40.077,36.882,34.0,32.413,30.471,30.545,35.992,40.478,38.212,35.747,34.373,30.272
108,04/04/23 00:41:51,51,0.0,160.2,306.971,139.862,142.708,143.327,139.107,139.299,134.591,126.71,123.452,113.555,104.368,97.069,90.399,87.691,83.681,81.818,84.612,163.116,84.129,81.286,78.676,76.176
109,04/04/23 00:42:16,51,45.0,19.8,306.971,130.253,133.381,133.703,128.837,129.071,125.001,117.643,113.832,105.102,96.608,89.569,84.685,80.919,77.572,76.227,79.039,81.187,78.382,75.844,74.172,70.633
110,04/04/23 00:42:34,51,45.0,160.2,306.97,142.11,145.389,145.467,140.645,141.075,136.011,128.444,124.72,114.606,104.928,98.439,90.795,88.075,83.792,82.089,85.057,132.224,82.561,80.267,78.466,75.405
112,04/04/23 00:42:57,51,90.0,19.8,306.975,131.436,134.874,134.833,130.337,130.594,126.246,119.135,115.286,106.561,97.866,90.745,85.365,82.584,79.076,77.028,80.354,82.933,79.265,77.516,75.407,72.069
113,04/04/23 00:43:15,51,90.0,160.2,306.98,139.592,142.96,142.988,138.247,139.01,134.69,126.543,124.596,113.446,104.016,96.611,91.021,87.254,83.231,81.07,83.878,86.718,82.71,79.588,78.341,74.53
115,04/04/23 00:43:38,51,135.0,19.8,306.982,132.72,135.846,135.416,131.455,131.482,127.484,120.273,117.211,107.217,98.833,91.468,86.084,82.809,78.98,77.009,80.773,111.703,80.249,77.247,75.196,71.942
116,04/04/23 00:43:56,51,135.0,160.2,306.978,137.901,141.617,141.578,136.98,137.344,132.646,125.398,121.574,111.982,102.758,95.519,89.331,86.291,82.331,80.494,82.79,84.286,82.127,79.005,77.683,73.905
119,04/04/23 00:45:49,51,0.0,19.8,306.973,131.18,134.649,134.522,130.301,130.512,125.785,118.689,114.81,106.164,97.35,91.043,85.218,81.808,77.996,75.726,80.037,81.0,78.212,75.377,74.378,70.874
120,04/04/23 00:46:07,51,0.0,90.0,306.979,57.081,58.796,58.923,56.531,56.454,55.244,50.426,49.348,43.916,39.309,36.741,34.232,31.927,29.777,29.517,36.18,40.874,38.387,35.083,34.38,29.821
121,04/04/23 00:46:24,51,0.0,160.2,306.977,139.14,142.103,142.38,138.266,138.032,133.268,125.936,122.048,113.277,103.304,96.334,90.736,87.782,83.201,81.373,84.464,163.891,82.8,80.008,78.536,74.989
122,04/04/23 00:46:48,51,45.0,19.8,306.978,128.924,132.644,132.728,128.307,128.441,123.726,117.165,113.248,105.134,95.747,88.751,83.368,80.742,77.297,75.31,79.562,80.87,78.085,75.302,73.886,70.548
123,04/04/23 00:47:06,51,45.0,160.2,306.978,140.755,143.775,144.028,140.009,140.331,135.089,127.196,123.53,114.028,104.173,97.08,90.786,88.116,83.878,82.038,85.157,135.405,82.699,80.894,78.422,75.099
125,04/04/23 00:47:29,51,90.0,19.8,306.975,130.624,133.93,133.856,129.875,130.297,125.238,118.765,115.758,106.795,98.162,91.265,85.87,82.71,79.017,77.385,80.965,83.367,79.515,77.217,76.173,72.187
126,04/04/23 00:47:47,51,90.0,160.2,306.972,138.029,141.194,141.38,137.745,137.842,132.469,125.024,123.002,111.91,102.432,95.204,89.301,86.615,82.339,80.435,83.209,87.709,81.028,78.293,76.937,73.668
128,04/04/23 00:48:10,51,135.0,19.8,306.969,132.319,135.164,135.701,131.91,131.395,126.817,119.862,117.614,107.706,98.428,91.318,86.204,83.385,79.576,78.035,81.312,112.087,80.484,78.03,76.508,72.98
129,04/04/23 00:48:28,51,135.0,160.2,306.97,137.568,140.631,141.166,137.052,136.713,131.803,124.36,120.318,111.476,102.133,94.918,89.223,85.783,81.617,80.175,83.371,84.252,81.215,78.024,77.193,73.919
132,04/04/23 00:50:21,51,0.0,19.8,306.962,130.177,133.953,134.633,129.794,129.756,125.891,118.762,114.281,105.842,96.319,89.364,84.652,81.691,78.383,75.878,79.492,80.892,78.444,76.212,73.808,71.261
133,04/04/23 00:50:39,51,0.0,90.0,306.966,56.972,59.206,59.348,56.404,56.891,55.782,51.432,49.299,43.929,38.676,36.827,34.033,32.755,30.726,30.437,36.772,40.734,38.194,36.501,34.72,30.589
134,04/04/23 00:50:56,51,0.0,160.2,306.967,137.786,141.519,142.584,137.787,137.529,133.074,125.905,121.757,112.684,102.108,95.449,90.357,87.381,83.262,80.931,85.019,163.453,82.748,80.466,79.0,75.866
135,04/04/23 00:51:21,51,45.0,19.8,306.969,128.655,132.311,132.454,128.053,128.337,123.722,116.87,113.024,104.957,95.165,88.571,83.773,80.642,77.162,75.228,78.341,80.692,78.585,75.056,73.576,71.057
136,04/04/23 00:51:39,51,45.0,160.2,306.971,139.497,143.211,143.728,139.168,139.064,133.757,126.539,123.272,113.467,103.003,96.159,90.972,87.734,83.5,80.972,84.732,134.452,82.928,80.992,78.213,75.696
138,04/04/23 00:52:02,51,90.0,19.8,306.974,130.401,133.891,134.964,130.064,130.1,126.158,119.072,115.064,107.042,97.574,90.653,86.431,82.64,79.404,77.285,81.148,83.837,80.705,77.574,76.204,74.408
139,04/04/23 00:52:19,51,90.0,160.2,306.976,137.398,141.586,141.66,137.67,137.001,133.176,125.619,123.441,111.87,101.893,95.02,89.508,86.407,82.661,80.37,83.437,88.172,81.807,79.262,77.353,75.579
141,04/04/23 00:52:42,51,135.0,19.8,306.976,130.924,134.951,135.144,130.591,130.134,125.957,119.26,116.126,106.845,97.247,90.748,86.109,82.662,78.715,76.51,80.703,111.104,78.922,76.931,75.138,72.867
142,04/04/23 00:53:00,51,135.0,160.2,306.978,137.159,140.66,140.881,136.598,136.646,131.599,124.706,120.288,111.846,101.715,94.739,88.938,85.689,82.055,79.64,83.669,84.596,81.669,78.798,77.436,75.053
145,04/04/23 00:54:54,51,0.0,19.8,307.0,130.146,133.381,133.332,129.054,129.133,125.105,118.049,114.52,105.788,96.846,89.769,84.518,81.349,78.269,76.551,79.787,80.761,79.287,76.194,74.185,70.574
146,04/04/23 00:55:11,51,0.0,90.0,307.009,57.617,59.586,59.346,57.136,57.277,56.613,52.262,50.269,44.483,39.45,37.898,34.991,33.046,31.237,32.232,37.673,43.107,39.069,36.792,35.354,30.88
147,04/04/23 00:55:29,51,0.0,160.2,307.011,137.248,140.098,140.514,136.611,135.929,131.411,124.058,120.319,111.467,101.256,94.756,88.874,85.98,82.277,80.399,83.958,164.159,82.627,79.964,76.989,74.368
148,04/04/23 00:55:52,51,45.0,19.8,307.014,127.978,131.119,131.737,127.673,127.06,123.267,116.25,112.35,103.754,94.677,88.509,83.316,80.184,75.931,74.802,78.673,80.02,77.709,74.668,72.851,69.653
149,04/04/23 00:56:10,51,45.0,160.2,307.02,138.967,141.398,142.213,138.249,137.566,133.238,125.456,121.569,112.28,102.317,95.423,89.213,86.88,82.832,81.147,84.315,134.81,81.953,79.335,77.835,74.464
151,04/04/23 00:56:33,51,90.0,19.8,307.022,130.086,132.921,133.029,128.961,129.07,125.055,117.745,114.257,106.094,96.851,90.587,85.1,82.145,78.565,77.682,80.339,83.208,79.109,77.845,75.041,71.762
152,04/04/23 00:56:51,51,90.0,160.2,307.023,137.833,140.574,141.348,138.075,137.189,133.026,124.975,122.888,112.303,102.159,96.171,89.7,87.226,82.814,81.206,83.283,87.945,82.32,79.609,77.125,74.419
154,04/04/23 00:57:14,51,135.0,19.8,307.026,132.854,135.363,136.025,132.186,131.921,127.23,120.704,118.423,108.194,98.704,92.814,87.585,84.336,80.308,79.19,82.22,116.135,82.03,79.187,76.738,73.794
155,04/04/23 00:57:32,51,135.0,160.2,307.026,136.044,139.316,139.445,136.281,135.484,131.015,123.57,119.208,110.453,101.233,94.326,88.281,86.221,81.785,80.192,82.861,84.513,82.082,78.547,76.823,73.769
158,04/04/23 00:59:25,51,0.0,19.8,307.027,128.639,132.262,132.113,128.448,128.137,124.0,117.322,112.633,104.801,95.894,88.891,83.741,80.885,77.42,75.863,79.414,80.238,77.659,75.222,74.01,70.963
